Frame,FPS
1700,252.23
1701,309.80
1702,237.23
1703,309.27
1704,249.58
1705,333.79
1706,235.43
1707,288.62
1708,259.42
1709,239.80
1710,259.28
1711,293.81
1712,269.48
1713,322.32
1714,226.11
1715,267.64
1716,218.99
1717,317.58
1718,263.25
1719,288.83
1720,257.08
1721,333.09
1722,234.41
1723,290.65
1724,274.02
1725,320.29
1726,270.15
1727,332.03
1728,235.46
1729,291.41
1730,257.68
1731,288.76
1732,245.89
1733,315.10
1734,277.19
1735,330.39
1736,94.13
1737,223.60
1738,255.06
1739,219.14
1740,277.75
1741,278.61
1742,222.46
1743,275.80
1744,242.93
1745,240.53
1746,278.44
1747,254.08
1748,217.42
1749,253.22
1750,272.34
1751,284.32
1752,267.62
1753,222.19
1754,234.76
1755,288.04
1756,263.65
1757,217.52
1758,276.55
1759,247.42
1760,253.99
1761,266.44
1762,255.06
1763,267.69
1764,257.00
1765,275.54
1766,265.75
1767,272.30
1768,247.05
1769,286.85
1770,256.85
1771,289.11
1772,239.40
1773,249.86
1774,215.45
1775,241.87
1776,276.66
1777,276.96
1778,276.50
1779,269.50
1780,171.58
1781,247.27
1782,280.32
1783,263.05
1784,284.76
1785,285.54
1786,242.16
1787,259.76
1788,69.32
1789,69.97
1790,72.00
1791,73.58
1792,83.44
1793,72.05
1794,83.69
1795,89.36
1796,83.97
1797,79.45
1798,87.14
1799,87.99
1800,85.03
1801,79.06
1802,73.70
1803,84.45
1804,81.02
1805,76.75
1806,82.02
1807,44.84
1808,222.55
1809,245.33
1810,258.61
1811,242.27
1812,228.59
1813,236.91
1814,256.67
1815,258.99
1816,321.32
1817,296.91
1818,302.64
1819,309.51
1820,337.74
1821,335.85
1822,343.11
1823,323.07
1824,333.74
1825,318.73
1826,257.20
1827,276.39
1828,296.09
1829,258.56
1830,257.36
1831,287.21
1832,285.42
1833,294.08
1834,261.44
1835,207.48
1836,268.53
1837,254.04
1838,299.28
1839,257.02
1840,264.94
1841,276.91
1842,251.35
1843,279.02
1844,276.05
1845,295.72
1846,269.19
1847,286.59
1848,256.48
1849,317.52
1850,294.99
1851,324.82
1852,282.41
1853,289.85
1854,275.08
1855,295.45
1856,315.77
1857,225.73
1858,210.38
1859,250.39
1860,250.21
1861,263.78
1862,269.03
1863,273.75
1864,264.99
1865,208.10
1866,275.82
1867,281.73
1868,276.63
1869,250.07
1870,219.95
1871,190.58
1872,216.25
1873,235.06
1874,237.08
1875,201.63
1876,191.75
1877,275.54
1878,272.76
1879,253.00
1880,239.19
1881,203.89
1882,267.90
1883,265.59
1884,253.64
1885,275.27
1886,282.34
1887,244.95
1888,253.77
1889,259.69
1890,256.73
1891,253.74
1892,234.64
1893,255.66
1894,275.13
1895,214.12
1896,248.04
1897,286.29
1898,286.11
1899,287.08
1900,297.46
1901,310.93
1902,280.89
1903,259.42
1904,275.72
1905,303.56
1906,304.97
1907,305.64
1908,340.69
1909,291.22
1910,305.57
1911,316.65
1912,328.84
1913,285.93
1914,283.27
1915,273.13
1916,303.23
1917,286.53
1918,290.90
1919,323.68
1920,323.14
1921,308.54
1922,284.88
1923,278.63
1924,329.43
1925,353.16
1926,358.09
1927,353.19
1928,347.96
1929,280.99
1930,234.69
1931,264.69
1932,290.86
1933,338.48
1934,358.90
1935,359.11
1936,340.82
1937,336.11
1938,345.72
1939,349.87
1940,341.67
1941,350.40
1942,320.19
1943,276.31
1944,232.14
1945,240.13
1946,278.99
1947,98.34
1948,85.90
1949,259.81
1950,252.06
1951,254.41
1952,254.08
1953,249.18
1954,241.58
1955,295.36
1956,268.20
1957,240.07
1958,237.43
1959,244.80
1960,256.83
1961,284.03
1962,323.76
1963,285.69
1964,287.52
1965,281.27
1966,275.95
1967,289.47
1968,278.23
1969,272.58
1970,264.38
1971,222.73
1972,241.21
1973,270.27
1974,284.29
1975,263.59
1976,251.16
1977,278.12
1978,282.95
1979,282.49
1980,274.48
1981,238.81
1982,272.76
1983,260.66
1984,239.06
1985,253.82
1986,228.71
1987,236.33
1988,283.87
1989,216.87
1990,250.22
1991,267.02
1992,324.32
1993,316.84
1994,305.43
1995,289.03
1996,300.26
1997,184.90
1998,278.96
1999,304.47
2000,307.61
2001,293.12
2002,316.53
2003,307.95
2004,326.19
2005,321.45
2006,299.40
2007,317.11
2008,295.41
2009,303.01
2010,311.50
2011,236.04
2012,328.98
2013,309.38
2014,254.84
2015,237.40
2016,263.85
2017,268.89
2018,269.03
2019,276.59
2020,295.33
2021,288.01
2022,280.69
2023,247.87
2024,235.27
2025,274.44
2026,298.73
2027,284.71
2028,248.53
2029,242.11
2030,240.92
2031,285.36
2032,263.77
2033,252.70
2034,286.61
2035,284.19
2036,294.13
2037,258.51
2038,278.19
2039,260.98
2040,259.94
2041,274.54
2042,287.95
2043,252.28
2044,280.35
2045,293.27
2046,276.94
2047,252.69
2048,263.70
2049,245.76
2050,291.15
2051,239.07
2052,251.41
2053,225.33
2054,293.18
2055,281.71
2056,294.69
2057,288.18
2058,262.25
2059,243.27
2060,256.23
2061,249.91
2062,294.56
2063,291.95
2064,276.65
2065,257.94
2066,272.71
2067,312.23
2068,342.56
2069,242.42
2070,289.81
2071,271.81
2072,274.06
2073,287.94
2074,246.21
2075,279.14
2076,325.11
2077,268.28
2078,244.05
2079,164.35
2080,254.52
2081,290.10
2082,275.71
2083,246.18
2084,231.51
2085,251.23
2086,212.30
2087,247.33
2088,245.50
2089,257.03
2090,271.81
2091,276.87
2092,249.78
2093,101.22
2094,80.20
2095,217.48
2096,260.88
2097,266.78
2098,278.76
2099,285.48
2100,255.47
2101,254.61
2102,276.68
2103,266.77
2104,271.51
2105,283.62
2106,288.63
2107,239.62
2108,247.24
2109,246.15
2110,259.28
2111,272.40
2112,287.94
2113,274.82
2114,282.98
2115,283.11
2116,266.72
2117,269.67
2118,244.89
2119,274.20
2120,273.67
2121,260.04
2122,268.85
2123,275.81
2124,284.18
2125,258.99
2126,245.91
2127,171.19
2128,249.30
2129,282.45
2130,289.39
2131,268.54
2132,281.22
2133,294.99
2134,232.79
2135,220.71
2136,240.62
