Frame,FPS
1603,353.09
1604,347.44
1605,301.66
1606,331.81
1607,396.07
1608,344.03
1609,341.22
1610,333.82
1611,342.17
1612,345.10
1613,359.93
1614,341.18
1615,345.53
1616,329.51
1617,341.66
1618,346.07
1619,350.89
1620,326.52
1621,339.88
1622,336.36
1623,292.10
1624,324.63
1625,350.01
1626,393.07
1627,356.39
1628,337.37
1629,316.76
1630,311.31
1631,349.28
1632,331.63
1633,343.86
1634,385.42
1635,338.79
1636,350.37
1637,344.09
1638,312.50
1639,351.60
1640,352.92
1641,305.80
1642,331.53
1643,346.58
1644,342.17
1645,330.73
1646,405.15
1647,319.21
1648,333.83
1649,357.16
1650,344.35
1651,404.22
1652,326.96
1653,337.54
1654,355.30
1655,347.14
1656,356.48
1657,359.88
1658,334.54
1659,356.95
1660,326.01
1661,334.82
1662,319.09
1663,322.80
1664,355.10
1665,351.21
1666,325.94
1667,322.52
1668,332.06
1669,352.30
1670,331.15
1671,342.58
1672,332.01
1673,342.23
1674,313.25
1675,320.38
1676,301.57
1677,320.10
1678,304.66
1679,301.93
1680,332.07
1681,350.74
1682,322.51
1683,333.80
1684,331.47
1685,343.57
1686,341.39
1687,314.02
1688,343.60
1689,298.17
1690,332.65
1691,303.57
1692,322.53
1693,335.63
1694,295.72
1695,308.44
1696,350.77
1697,334.84
1698,348.66
1699,327.21
1700,339.39
1701,342.82
1702,342.13
1703,352.85
1704,328.87
1705,341.66
1706,347.86
1707,329.20
1708,354.40
1709,335.99
1710,344.61
1711,336.24
1712,344.01
1713,399.30
1714,353.97
1715,290.88
1716,322.38
1717,343.44
1718,386.79
1719,407.76
1720,312.44
1721,350.10
1722,347.46
1723,336.06
1724,311.26
1725,334.78
1726,312.66
1727,325.02
1728,345.89
1729,360.71
1730,322.77
1731,327.76
1732,378.77
1733,341.53
1734,343.56
1735,347.39
1736,395.74
1737,343.87
1738,346.89
1739,397.49
1740,326.83
1741,406.64
1742,345.41
1743,224.17
1744,312.36
1745,324.11
1746,392.09
1747,330.08
1748,334.02
1749,354.18
1750,397.57
1751,355.30
1752,344.26
1753,340.10
1754,346.13
1755,330.34
1756,347.37
1757,378.52
1758,294.59
1759,309.37
1760,322.75
1761,325.74
1762,357.69
1763,314.23
1764,334.48
1765,349.44
1766,361.51
1767,313.30
1768,318.11
1769,331.73
1770,406.29
1771,347.32
1772,298.35
1773,328.34
1774,348.55
1775,332.78
1776,350.72
1777,391.04
1778,338.98
1779,348.50
1780,403.34
1781,299.78
1782,331.21
1783,336.26
1784,324.01
1785,354.37
1786,412.71
1787,357.97
1788,323.83
1789,301.34
1790,332.02
1791,292.34
1792,379.64
1793,350.74
1794,418.97
1795,339.26
1796,390.26
1797,403.18
1798,430.89
1799,416.82
1800,360.40
1801,403.53
1802,386.40
1803,357.08
1804,414.44
1805,353.64
1806,382.03
1807,323.42
1808,306.81
1809,397.83
1810,398.39
1811,358.19
1812,339.37
1813,323.17
1814,324.55
1815,417.73
1816,348.58
1817,381.56
1818,333.60
1819,357.83
1820,387.73
1821,361.53
1822,414.97
1823,350.67
1824,408.28
1825,355.68
1826,397.39
1827,399.62
1828,354.98
1829,287.96
1830,352.36
1831,408.06
1832,409.50
1833,419.82
1834,417.55
1835,422.64
1836,320.20
1837,389.23
1838,357.23
1839,400.79
1840,415.39
1841,415.04
1842,309.64
1843,354.38
1844,353.28
1845,416.16
1846,415.30
1847,325.70
1848,356.20
1849,339.54
1850,364.19
1851,347.73
1852,408.71
1853,347.36
1854,409.06
1855,361.06
1856,371.75
1857,326.57
1858,355.95
1859,366.09
1860,332.24
1861,356.62
1862,343.58
1863,395.81
1864,341.78
1865,395.37
1866,323.56
1867,307.27
1868,331.10
1869,291.65
1870,331.94
1871,319.71
1872,356.49
1873,399.07
1874,359.43
1875,376.97
1876,399.28
1877,427.64
1878,350.36
1879,417.55
1880,349.92
1881,393.31
1882,387.85
1883,406.90
1884,401.62
1885,402.37
1886,338.16
1887,409.57
1888,408.55
1889,356.11
1890,387.76
1891,416.96
1892,357.81
1893,401.27
1894,419.30
1895,359.32
1896,400.93
1897,341.06
1898,392.73
1899,330.41
1900,402.01
1901,433.22
1902,408.10
1903,415.42
1904,381.62
1905,348.57
1906,378.32
1907,372.98
1908,340.10
1909,396.73
1910,419.32
1911,381.24
1912,393.82
1913,397.52
1914,414.58
1915,414.44
1916,382.38
1917,375.36
1918,396.48
1919,399.28
1920,402.19
1921,403.39
1922,395.44
1923,389.57
1924,332.93
1925,228.52
1926,392.83
1927,406.75
1928,361.85
1929,421.71
1930,349.36
1931,385.43
1932,413.94
1933,417.28
1934,352.68
1935,412.10
1936,334.34
1937,410.59
1938,352.52
1939,411.67
1940,431.63
1941,400.79
1942,420.33
1943,421.23
1944,423.14
1945,433.43
1946,426.66
1947,420.73
1948,423.32
1949,395.71
1950,403.06
1951,395.38
1952,399.19
1953,407.83
1954,393.55
1955,417.92
1956,434.35
1957,432.15
1958,413.92
1959,408.33
1960,412.44
1961,417.12
1962,411.44
1963,398.76
1964,397.98
1965,425.31
1966,415.33
1967,391.17
1968,341.85
1969,388.82
1970,353.97
1971,425.99
1972,409.60
1973,309.02
1974,323.92
1975,402.56
1976,349.92
1977,396.98
1978,418.65
1979,354.69
1980,358.31
1981,404.71
1982,440.57
1983,393.62
1984,417.21
1985,409.40
1986,327.03
1987,310.67
1988,347.36
1989,347.84
1990,336.48
1991,352.56
1992,344.92
1993,347.20
1994,353.81
1995,353.51
1996,370.10
1997,300.21
1998,342.84
1999,392.59
2000,396.21
2001,391.60
2002,420.79
2003,420.75
2004,409.08
2005,408.76
2006,417.36
2007,400.64
2008,402.61
2009,400.67
2010,412.78
2011,411.78
2012,415.90
2013,409.45
2014,393.53
2015,420.27
2016,328.30
2017,419.80
2018,428.52
2019,410.80
2020,424.61
2021,354.51
2022,431.15
2023,421.05
2024,432.38
2025,430.18
2026,394.85
2027,415.20
2028,404.51
2029,396.31
2030,419.04
2031,400.63
2032,421.78
2033,406.26
2034,416.16
2035,419.76
2036,413.57
2037,424.92
2038,414.59
2039,397.06
2040,370.10
2041,372.49
2042,372.90
2043,408.76
2044,414.08
2045,398.93
2046,384.59
2047,400.03
2048,401.62
2049,399.09
2050,401.17
2051,406.29
2052,417.12
2053,400.51
2054,389.39
2055,401.82
2056,402.35
2057,404.30
2058,418.46
2059,419.15
2060,386.15
2061,405.89
2062,380.14
2063,409.67
2064,411.81
2065,407.40
2066,420.13
2067,419.75
2068,398.87
2069,408.85
2070,390.46
2071,413.86
2072,406.50
2073,387.75
2074,408.83
2075,397.41
2076,400.50
2077,396.15
2078,374.21
2079,354.75
2080,409.05
2081,410.91
2082,410.49
2083,417.47
2084,417.01
2085,422.23
2086,416.75
2087,413.24
2088,404.71
2089,407.81
2090,363.79
2091,413.98
2092,409.22
2093,411.51
2094,415.47
2095,399.49
2096,403.37
2097,409.79
2098,388.50
2099,387.49
2100,390.69
2101,414.99
2102,393.56
2103,292.01
2104,98.72
2105,143.19
2106,73.55
2107,19.58
2108,19.90
2109,32.13
2110,30.35
2111,35.60
2112,26.97
2113,19.69
2114,36.42
2115,39.41
2116,35.02
2117,25.04
2118,32.99
2119,47.32
2120,46.99
2121,91.36
2122,24.79
2123,20.89
2124,14.35
2125,22.89
2126,20.43
2127,23.25
2128,21.72
2129,20.07
2130,37.01
2131,25.32
2132,20.78
2133,19.57
2134,24.45
2135,53.22
2136,22.35
